League,Source file,0,1,2,3,4,5,6,Conference,Division,Team,City,Arena,Founded,Joined
Western Hockey League,Western_Hockey_League.html,,,,,,,,,East,Swift Current Broncos,"Swift Current, Saskatchewan",InnovationPlex,1967*,1967*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,B.C.,Kamloops Blazers,"Kamloops, British Columbia",Sandman Centre,1966*,1966*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,B.C.,Kelowna Rockets,"Kelowna, British Columbia",Prospera Place,1991*,1991*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,B.C.,Penticton Vees,"Penticton, British Columbia",South Okanagan Events Centre,2025,2025
Western Hockey League,Western_Hockey_League.html,,,,,,,,,B.C.,Prince George Cougars,"Prince George, British Columbia",CN Centre,1962,1971*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,B.C.,Vancouver Giants,"Langley, British Columbia",Langley Events Centre,2001,2001
Western Hockey League,Western_Hockey_League.html,,,,,,,,,B.C.,Victoria Royals,"Victoria, British Columbia",Save-On-Foods Memorial Centre,2005,2006*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,U.S.,Everett Silvertips,"Everett, Washington",Angel of the Winds Arena,2001,2003
Western Hockey League,Western_Hockey_League.html,,,,,,,,,U.S.,Portland Winterhawks,"Portland, Oregon",Veterans Memorial Coliseum,1950,1966*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,U.S.,Seattle Thunderbirds,"Kent, Washington",accesso ShoWare Center,1971*,1971*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,U.S.,Spokane Chiefs,"Spokane, Washington",Numerica Veterans Arena,1982*,1982*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,U.S.,Tri-City Americans,"Kennewick, Washington",Toyota Center,1966*,1966*
Western Hockey League,Western_Hockey_League.html,,,,,,,,,U.S.,Wenatchee Wild,"Wenatchee, Washington",Town Toyota Center,1996*,1996*
