League,Source file,Division,Team,Home,Arena,0,1,2,3,4,5,6,7,8,9,10,Conference,City,Centre,Joined
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,East Division,East Division,East Division,East Division,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Team,City,Arena,Joined,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Niverville Nighthawks[1],Niverville,Niverville Community Resource & Recreation Centre,2022,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Portage Terriers,Portage la Prairie,Stride Place,1942,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Selkirk Steelers,Selkirk,Selkirk Recreation Complex,1966,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Steinbach Pistons,Steinbach,Southeast Event Centre,1988,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Winkler Flyers,Winkler,Winkler Arena,1980,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Winnipeg Blues,Winnipeg,The Rink Training Centre,1930,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Winnipeg Monarchs,Winnipeg,Hockey for All Centre,2020,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,West Division,West Division,West Division,West Division,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Team,City,Arena,Joined,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Dauphin Kings,Dauphin,Credit Union Place,1967,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Neepawa Titans,Neepawa,Yellowhead Centre,1989,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Northern Manitoba Blizzard,The Pas,Roy H Johnston Arena,1996,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Swan Valley Stampeders,Swan River,Swan River Centennial Arena,1999,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Virden Oil Capitals,Virden,Tundra Oil & Gas Place,1956,,,,,,,,,,,
Manitoba Junior Hockey League,Manitoba_Junior_Hockey_League.html,,,,,Waywayseecappo Wolverines,Waywayseecappo,Waywayseecappo Wolverines Complex,1999,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,,"EastLink North Division Team Joined Centre Arena Campbellton Tigers 1996 Campbellton, New Brunswick Memorial Civic Center Edmundston Blizzard 1983 Edmundston, New Brunswick Jean-Daigle Centre Chaleur Lightning 2025 Bathurst, New Brunswick K. C. Irving Regional Centre Grand Falls Rapids 2003 Grand Falls, New Brunswick E. & P. Senechal Center Miramichi Timberwolves 2000 Miramichi, New Brunswick Miramichi Civic Centre West Kent Steamers 2004 Bouctouche, New Brunswick JK Irving Centre EastLink South Division Team Joined Centre Arena Amherst Ramblers 1967 Amherst, Nova Scotia Amherst Stadium Pictou County Crushers 1967 New Glasgow, Nova Scotia Pictou County Wellness Centre Summerside Western Capitals 1991 Summerside, Prince Edward Island Consolidated Credit Union Place Truro Bearcats 1997 Truro, Nova Scotia Rath Eastlink Community Centre Valley Wildcats 1986 Berwick, Nova Scotia Kings Mutual Century Centre Yarmouth Mariners 1976 Yarmouth, Nova Scotia Mariners Centre",,,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,EastLink North Division,EastLink North Division,EastLink North Division,EastLink North Division,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Team,Joined,Centre,Arena,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Campbellton Tigers,1996,"Campbellton, New Brunswick",Memorial Civic Center,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Edmundston Blizzard,1983,"Edmundston, New Brunswick",Jean-Daigle Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Chaleur Lightning,2025,"Bathurst, New Brunswick",K. C. Irving Regional Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Grand Falls Rapids,2003,"Grand Falls, New Brunswick",E. & P. Senechal Center,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Miramichi Timberwolves,2000,"Miramichi, New Brunswick",Miramichi Civic Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,West Kent Steamers,2004,"Bouctouche, New Brunswick",JK Irving Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,EastLink South Division,EastLink South Division,EastLink South Division,EastLink South Division,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Team,Joined,Centre,Arena,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Amherst Ramblers,1967,"Amherst, Nova Scotia",Amherst Stadium,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Pictou County Crushers,1967,"New Glasgow, Nova Scotia",Pictou County Wellness Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Summerside Western Capitals,1991,"Summerside, Prince Edward Island",Consolidated Credit Union Place,,,,,,,,,,,
