League,Source file,Team,Centre,Home arena,Year Joined,Founded,1st Season,0,1,2,First season,3,4,5,Senior Teams,Formed
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Team,,,Centre,Founded,Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Dorchester Dolphins,,,Dorchester,2012,The Flight Exec Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Hespeler Shamrocks,,,Hespeler,1959,Hespeler Memorial Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,New Hamburg Firebirds,,,New Hamburg,1953,Wilmot Township Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Norwich Merchants,,,Norwich,1968,Norwich Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Paris Titans,,,Paris,1985,Brant Sports Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Tavistock Braves,,,Tavistock,1970,Tavistock & District Recreation Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Wellesley Applejacks,,,Wellesley,1987,Wellesley Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Woodstock Navy-Vets,,,Woodstock,1966,Woodstock District Community Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Bloomfield Division,Bloomfield Division,,Bloomfield Division,Bloomfield Division,Bloomfield Division,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Team,,,Centre,Founded,Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Dundas Blues,,,Dundas,1963,J.L.Grightmire Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Dunnville Jr. Mudcats,,,Dunnville,1974,Dunnville Memorial Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Glanbrook Rangers,,,Glanbrook,1975,Glanbrook Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Grimsby Peach Kings,,,Grimsby,1922,Peach King Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Hagersville Hawks,,,Hagersville,1992,Hagersville Memorial Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Niagara Riverhawks,,,Chippawa,1987,Gale Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Port Dover Sailors,,,Port Dover,1988,Port Dover & Area Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Streetsville Derbys,,,Streetsville,2024,Vic Johnston Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,East Conference,East Conference,,East Conference,East Conference,East Conference,,
