League,Source file,Team,Association,Division,Centre,City/Area,Arena,Founded,0,1,2,3,4,5,6,7,Head coach,Joined,City,Comments,Don Johnson - Jr B,1st Year,Titles,8,9,10,Home
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Sarnia Legionnaires,"Sarnia, Ontario",Pat Stapleton Arena,1969,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,St. Marys Lincolns,"St. Marys, Ontario",Pyramid Recreation Complex,1956,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,St. Thomas Stars,"St. Thomas, Ontario",Joe Thornton Community Centre,1961,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Stratford Warriors,"Stratford, Ontario",William Allman Memorial Arena,1962,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Strathroy Rockets,"Strathroy, Ontario",West Middlesex Memorial Arena,1965,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Eastern Conference,Eastern Conference,Eastern Conference,Eastern Conference,Eastern Conference,Eastern Conference,Eastern Conference,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Team,City,Arena,Founded,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Ayr Centennials,"Ayr, Ontario",North Dumfries Community Complex,2020,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Brantford Titans,"Brantford, Ontario",Wayne Gretzky Sports Centre,2013,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Caledon Bombers,"Caledon, Ontario",Mayfield Arena,2020,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Caledonia Corvairs,"Caledonia, Ontario",Haldimand County Caledonia Centre,1970,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Cambridge Redhawks,"Cambridge, Ontario",Galt Arena Gardens,2018,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Fort Erie Meteors,"Fort Erie, Ontario",Fort Erie Leisureplex,1957,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Hamilton Steel,"Hamilton, Ontario",Dave Andreychuk Mountain Arena & Skating Centre,1974,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Pelham Panthers,"Pelham, Ontario",Meridian Community Centre,2014,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Port Colborne Sailors,"Port Colborne, Ontario",Vale Centre,1963,,,,,,,,,,,,,,,
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,St. Catharines Falcons,"St. Catharines, Ontario",Seymour-Hannah Sports and Entertainment Centre,1968,,,,,,,,,,,,,,,
