League,Source file,0,1,2,3,4,5,6,Division,Team,Joined,Location,Arena,Conference
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,Central,Providence Capitals,Dennis M Lynch Arena,"Providence, Rhode Island",2023,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,South,,,,,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,South,New Jersey 87's,Jersey Shore Arena,"Wall Township, New Jersey",2018,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,South,New Jersey Bears,Flemington Ice Arena,"Flemington, New Jersey",2020[a 1],,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,South,Pennsylvania Huntsmen,Power Play Rinks,"Exton, Pennsylvania",2023,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,South,Philadelphia Little Flyers,IceWorks Skating Complex,"Aston, Pennsylvania",2003,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,South,Philadelphia Hockey Club,Hollydell Ice Arena,"Sewell, New Jersey",2022,,,,,,,,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,North,Bradford Rattlers,2006.0,"Bradford West Gwillimbury, Ontario",BWG Leisure Centre,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,North,Meaford Knights,2013.0,"Meaford, Ontario",Meaford & St. Vincent Community Centre,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,North,Tottenham Railers,2014.0,"New Tecumseth, Ontario",Tottenham and Community Fitness Centre,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,North,Wasaga River Dragons,2024.0,"Wasaga Beach, Ontario",Wasaga Stars Arena,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,North,Ville-Marie Pirates,2017.0,"Ville-Marie, Quebec",Olympia de Ville-Marie Arena,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,North,West Nipissing Lynx,2010.0,"West Nipissing, Ontario",Sturgeon Falls Arena,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,South,Bradford Bulls,2012.0,"Bradford West Gwillimbury, Ontario",Bob Fallis Sports Centre,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,South,Durham Roadrunners,2015.0,"Oshawa, Ontario",Delpark Homes Arena,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,South,Niagara Predators,2013.0,"Niagara-on-the-Lake, Ontario",Meridian Credit Union Arena,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,South,North York Renegades,2014.0,"Toronto, Ontario",Canlan Ice Sports – York,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,South,Northumberland Stars,2015.0,"Cramahe, Ontario",Keeler Center,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,South,Richmond Hill Rampage,2024.0,"Richmond Hill, Ontario",Elvis Stojko Arena,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,South,St. George Ravens,2013.0,"Brant, Ontario",South Dumfries Community Centre,
Greater Metro Junior A Hockey League,Greater_Metro_Junior_A_Hockey_League.html,,,,,,,,South,Toronto Flyers,2021.0,"Thornhill, Ontario",Paramount Ice Arena,
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,Team,Centre,Founded,McKenzie Trophy titles,Moug Trophy titles,,,,,,,,
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,Charleswood Hawks,Eric Coy Arena,1970,16,14,,,,,,,,
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,Fort Garry/Fort Rouge Twins,Century Arena,1970,7,5,,,,,,,,
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,Pembina Valley Twisters,Morris Multiplex,2001,3,3,,,,,,,,
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,Raiders Junior Hockey Club,Seven Oaks Sportsplex,1977,3,4,,,,,,,,
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,River East Royal Knights,Terry Sawchuk Memorial Arena,1981,7,8,,,,,,,,
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,St. Boniface Riels,Southdale Community Centre,1971,6,7,,,,,,,,
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,St. James Canucks,St.James Civic Centre Arena,1978,4,3,,,,,,,,
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,St. Vital Victorias,St. Vital Centennial Arena,1975,1,3,,,,,,,,
